               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.018649,              0.0078,                   0,             0.96419,             0.91271,             0.93146,             0.67873,             0.02458,           0.0068904,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.018635,           0.0083242,                   0,              0.9603,             0.89831,              0.9362,             0.66195,             0.02544,           0.0068473,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.017666,           0.0082775,                   0,             0.96068,             0.89831,             0.93305,             0.66694,            0.024344,           0.0068641,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.018736,           0.0084386,                   0,             0.96052,             0.89831,             0.93729,             0.67521,            0.024285,           0.0068428,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.017432,           0.0078692,                   0,             0.96011,             0.89831,             0.93694,             0.67768,            0.024195,           0.0069197,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.017077,           0.0074399,                   0,             0.98103,             0.89831,             0.93748,             0.65866,            0.025105,           0.0069273,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.016561,           0.0078898,                   0,             0.97628,             0.89831,             0.93318,             0.67434,            0.024846,            0.006963,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.016783,           0.0071502,                   0,             0.97817,             0.89831,             0.93151,             0.64805,            0.025907,            0.007053,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.016178,           0.0077672,                   0,             0.97542,             0.89831,             0.93588,             0.66542,            0.025073,           0.0070375,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.016682,           0.0081109,                   0,             0.96422,             0.91351,             0.93896,             0.67004,            0.025658,           0.0070282,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.015896,           0.0075226,                   0,             0.96419,             0.91282,             0.94108,             0.67395,            0.025212,           0.0069777,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.016436,           0.0079821,                   0,             0.96419,             0.91273,             0.94195,             0.67425,            0.025095,           0.0069952,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.015418,            0.007897,                   0,             0.98126,             0.89831,             0.94213,             0.66728,            0.025619,           0.0070238,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.016254,           0.0076101,                   0,             0.97807,             0.89831,             0.93756,             0.66159,            0.025844,           0.0070359,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.015476,           0.0074016,                   0,             0.97596,             0.89831,             0.93388,              0.6506,            0.025944,           0.0070232,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.016359,           0.0077062,                   0,             0.97744,             0.89831,              0.9324,             0.65938,             0.02544,           0.0069299,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.015865,           0.0080238,                   0,             0.97362,             0.89831,             0.93289,              0.6669,            0.024987,            0.006857,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.015587,            0.007387,                   0,             0.98145,             0.89654,             0.93543,             0.66358,            0.024786,           0.0068379,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.014802,           0.0071653,                   0,             0.95946,             0.89831,             0.93658,             0.66557,             0.02453,           0.0068446,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.015482,           0.0075568,                   0,             0.95914,             0.89831,             0.93714,             0.66647,            0.024305,           0.0068366,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.015273,           0.0071425,                   0,             0.95974,             0.89831,             0.93805,             0.67488,            0.024253,           0.0068387,                   0,            0.000298,            0.000298,            0.000298
